Top_K,Min_Volume,Min_Close,Min_Predicted_Return,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
5,50000,10.0,0.02,0.001,0.001,0.004,9068,164,389,37,-0.0011980009701350693,-0.0015784636950708026,-0.4241755047414555,-0.504814634887909,-0.7809691665221874,3.5989717223650386,-0.91670615141211,-1.1939404450943374
5,50000,5.0,0.004,0.001,0.001,0.004,14011,225,389,389,0.0025390289415358758,-0.001460971058464125,1.3138770569287517,-0.5119928912397909,-0.8176160724996954,51.9280205655527,1.4592756543264829,-0.8396751460432954
20,50000,5.0,0.01,0.001,0.001,0.004,14011,225,389,312,0.0019932048215242663,-0.0012150213995554264,0.6857306891461057,-0.5167586468539102,-0.8176160724996954,41.645244215938305,0.8802389951588176,-0.5367059871751775
10,50000,5.0,0.01,0.001,0.001,0.004,14011,225,389,312,0.0018891730744964189,-0.001319053146583274,0.6224780234716061,-0.5349585934804308,-0.8176160724996954,41.38817480719794,0.8381897321853772,-0.585341970303978
10,50000,5.0,0.004,0.001,0.001,0.004,14011,225,389,389,0.00233741562829752,-0.0016625843717024795,1.1826948282918006,-0.5397306840872564,-0.8176160724996954,51.9280205655527,1.4446199093979948,-1.02754617336273
20,50000,5.0,0.02,0.001,0.001,0.004,14011,225,389,52,-0.0012091546295852156,-0.0017438589997651646,-0.4624155843516081,-0.5649114489735834,-0.8176160724996954,5.655526992287918,-0.6987640289911529,-1.0009849728710727
5,50000,5.0,0.01,0.001,0.001,0.004,14011,225,389,312,0.0016863915584354244,-0.001521834662644269,0.49822646097227863,-0.5707109665938503,-0.8176160724996954,41.38817480719794,0.7469318674132938,-0.6740810585969053
20,50000,5.0,0.004,0.001,0.001,0.004,14011,225,389,389,0.002128217877343462,-0.001871782122656538,1.015015724308257,-0.5752233769127127,-0.8176160724996954,50.128534704370175,1.3216936441200493,-1.1624385646927948
10,50000,5.0,0.02,0.001,0.001,0.004,14011,225,389,52,-0.0012757412562977271,-0.0018104456264776759,-0.4755477783940768,-0.5755801315110776,-0.8176160724996954,5.3984575835475574,-0.7404816637569912,-1.0433898094577065
5,50000,5.0,0.02,0.001,0.001,0.004,14011,225,389,52,-0.0013814889086229709,-0.0019161932788029198,-0.4972336327111342,-0.5932005729339904,-0.8176160724996954,5.3984575835475574,-0.7991602154516562,-1.1001375715601598
5,50000,10.0,0.004,0.001,0.001,0.004,9068,164,389,385,0.001996552701054169,-0.0019623161935473743,0.8702244757929389,-0.5995317736909715,-0.7809691665221874,51.41388174807198,1.1375388061975242,-1.1180335228888414
10,50000,10.0,0.004,0.001,0.001,0.004,9068,164,389,385,0.001964572113674501,-0.001994296780927042,0.8641431489235574,-0.6008247564912114,-0.7809691665221874,50.128534704370175,1.1559943323721062,-1.1734839451612593
20,50000,10.0,0.004,0.001,0.001,0.004,9068,164,389,385,0.001882390962401125,-0.0020764779322004186,0.806101856993547,-0.6133019501732128,-0.7809691665221874,50.128534704370175,1.108768984006035,-1.2230836677655963
5,50000,10.0,0.0,0.001,0.001,0.004,9068,164,389,389,0.0016240797002446362,-0.002375920299755364,0.650023577705926,-0.652451864129055,-0.7809691665221874,53.213367609254504,0.9970720887905039,-1.4586499761803575
5,100000,5.0,0.004,0.001,0.001,0.004,8514,191,389,384,0.001778955886313712,-0.002169630231938218,0.6132246695451171,-0.6534700665860068,-0.8746277253970194,50.128534704370175,0.8503937628564069,-1.0371382367129598
5,200000,10.0,0.01,0.001,0.001,0.004,2599,106,389,78,-0.001681259049190784,-0.0024833156044607074,-0.533839403649438,-0.6601896560626135,-0.9633084491025498,8.740359897172237,-1.1395862265260963,-1.663112608192784
10,100000,5.0,0.004,0.001,0.001,0.004,8514,191,389,384,0.001702792462446126,-0.002245793655805803,0.5784043268885009,-0.6609688821960022,-0.8746277253970194,50.38560411311054,0.8294371318212184,-1.0939208065393253
10,200000,10.0,0.01,0.001,0.001,0.004,2599,106,389,78,-0.0017091847771999132,-0.002511241332469837,-0.5389965866585021,-0.6639643477539054,-0.9633084491025498,8.483290488431876,-1.1570477759074154,-1.6794688129373283
20,200000,10.0,0.01,0.001,0.001,0.004,2599,106,389,78,-0.0017091847771999132,-0.002511241332469837,-0.5389965866585021,-0.6639643477539054,-0.9633084491025498,8.483290488431876,-1.1570477759074154,-1.6794688129373283
20,100000,5.0,0.004,0.001,0.001,0.004,8514,191,389,384,0.001646904436556862,-0.002301681681695066,0.5419059661914101,-0.6688416675629658,-0.8746277253970194,50.6426735218509,0.7987012762227441,-1.1162318235050437
10,50000,5.0,0.0,0.001,0.001,0.004,14011,225,389,389,0.0014383689891470201,-0.0025616310108529795,0.5674545175692456,-0.6698838487884184,-0.8176160724996954,51.9280205655527,0.9643219495436965,-1.7173875612142002
20,50000,10.0,0.01,0.001,0.001,0.004,9068,164,389,252,-2.8360660454889064e-07,-0.0025915432467073776,-0.19282114899536829,-0.7065234596550194,-0.7809691665221874,28.79177377892031,-0.0001354577496704047,-1.2357413491792066
10,50000,10.0,0.01,0.001,0.001,0.004,9068,164,389,252,-2.3274353495772504e-05,-0.0026145339935986014,-0.19947792758171645,-0.7089526999891071,-0.7809691665221874,28.79177377892031,-0.01113472603356956,-1.2487131226847517
5,50000,10.0,0.01,0.001,0.001,0.004,9068,164,389,252,-0.00010604975102526821,-0.0026973093911280975,-0.22662711277610226,-0.7188649223024599,-0.7809691665221874,28.79177377892031,-0.05046151932553067,-1.2811805368316933
10,50000,10.0,0.0,0.001,0.001,0.004,9068,164,389,389,0.0008298679528368233,-0.0031701320471631766,0.24261685559525015,-0.7385364151755366,-0.7809691665221874,49.3573264781491,0.5682859678217338,-2.1708773695699715
5,100000,10.0,0.004,0.001,0.001,0.004,5519,141,389,376,0.001034408640330392,-0.0028319152671246227,0.1417955594357858,-0.7471568941838538,-0.8326823497864856,48.0719794344473,0.44242640610639944,-1.2111311767307935
5,100000,5.0,0.0,0.001,0.001,0.004,8514,191,389,389,0.0008691632778808637,-0.0031308367221191363,0.19686385746850044,-0.7482549666941176,-0.8746277253970194,50.899742930591266,0.4847566600368687,-1.7461551714835346
5,100000,10.0,0.0,0.001,0.001,0.004,5519,141,389,389,0.0007989690858127445,-0.0032010309141872555,0.15627569800854046,-0.7568329564351197,-0.8326823497864856,51.156812339331616,0.43562740685662316,-1.7453200895711511
5,200000,5.0,0.01,0.001,0.001,0.004,3998,148,389,115,-0.002124355200886807,-0.0033068744810924636,-0.6263993700948707,-0.7654536899212231,-0.9627651325056273,12.339331619537274,-1.1998784687595827,-1.8499108919456009
10,100000,10.0,0.004,0.001,0.001,0.004,5519,141,389,376,0.0008132331058721777,-0.003053090801582836,0.04891017626872829,-0.7678038797505804,-0.8326823497864856,47.55784061696658,0.3486262857342727,-1.3086914572721768
20,100000,10.0,0.004,0.001,0.001,0.004,5519,141,389,376,0.0008084612184758875,-0.003057862688979127,0.04705140029929278,-0.7682169347427641,-0.8326823497864856,47.55784061696658,0.34663783164406603,-1.3109526229993025
10,200000,5.0,0.01,0.001,0.001,0.004,3998,148,389,115,-0.00217611168136393,-0.0033586309615695857,-0.6335777580849822,-0.7699775946640535,-0.9627651325056273,12.082262210796916,-1.2325840522960396,-1.8837269206567728
20,200000,5.0,0.01,0.001,0.001,0.004,3998,148,389,115,-0.00217611168136393,-0.0033586309615695857,-0.6335777580849822,-0.7699775946640535,-0.9627651325056273,12.082262210796916,-1.2325840522960396,-1.8837269206567728
20,50000,5.0,0.0,0.001,0.001,0.004,14011,225,389,389,0.0002745645200766149,-0.0037254354799233854,0.005741096191475892,-0.7885540090172486,-0.8176160724996954,51.156812339331616,0.19203010015662486,-2.6055651623782508
10,100000,5.0,0.0,0.001,0.001,0.004,8514,191,389,389,0.00028296867882571925,-0.0037170313211742807,-0.02615812353965752,-0.7953169403914301,-0.8746277253970194,50.899742930591266,0.17045345720642072,-2.2390493600492403
20,50000,10.0,0.0,0.001,0.001,0.004,9068,164,389,389,0.00013176318560216143,-0.0038682368143978393,-0.04770126349675907,-0.7998332001243502,-0.7809691665221874,49.10025706940874,0.09279807243707697,-2.7243187728482647
10,100000,10.0,0.0,0.001,0.001,0.004,5519,141,389,389,9.884026869589536e-05,-0.0039011597313041053,-0.10476950209162228,-0.8119124190119856,-0.8326823497864856,47.04370179948586,0.056865878770249914,-2.244458450697562
20,100000,10.0,0.0,0.001,0.001,0.004,5519,141,389,389,6.169274854491536e-05,-0.003938307251455085,-0.1186719279897992,-0.8148458683071551,-0.8326823497864856,47.55784061696658,0.03535256583110971,-2.256817367584731
20,100000,5.0,0.0,0.001,0.001,0.004,8514,191,389,389,4.0882376026604035e-06,-0.00399591176239734,-0.1231191552418579,-0.8157712150666472,-0.8746277253970194,50.128534704370175,0.0024958586507492497,-2.4394939602629857
5,200000,10.0,0.004,0.001,0.001,0.004,2599,106,389,278,-0.00346437236949139,-0.006322984194684193,-0.8034142798916867,-0.9359806771272134,-0.9633084491025498,29.82005141388175,-1.4682334365755079,-2.6691075377268323
10,200000,10.0,0.004,0.001,0.001,0.004,2599,106,389,278,-0.0034754412880305813,-0.006334053113223386,-0.8042856257326236,-0.9362655979061137,-0.9633084491025498,29.562982005141386,-1.4724818361987022,-2.672958823155523
20,200000,10.0,0.004,0.001,0.001,0.004,2599,106,389,278,-0.0034754412880305813,-0.006334053113223386,-0.8042856257326236,-0.9362655979061137,-0.9633084491025498,29.562982005141386,-1.4724818361987022,-2.672958823155523
