symbol,date,open,high,low,close,volume
123,2016-04-27 07:00:00,26.57,28.63,24.91,28.5,394760.0
ZZZZZZ,2022-10-28 07:00:00,5.0,5.16,4.83,4.85,1087400.0
123,2018-08-07 07:00:00,27.35,27.35,27.17,27.17,400.0
123,2021-06-15 07:00:00,8.2,8.2,7.86,7.86,1600.0
ZZZZZZ,2023-12-05 07:00:00,13.77,13.85,13.45,13.53,111500.0
123,2024-06-25 07:00:00,20.49,20.66,20.01,20.41,398940.0
DSG,2021-03-26 07:00:00,7.2,7.2,5.620581113801453,6.209281214321352,115510.0
ZZZZZZ,2021-03-02 07:00:00,3.4,3.4,3.2,3.3,792300.0
ZZZZZZ,2025-07-18 07:00:00,8.3,8.3,8.1,8.2,25400.0
ZZZZZZ,2024-02-01 07:00:00,3.2,3.3,3.2,3.2,40427.0
123,2024-02-15 07:00:00,3.1,3.3,3.1,3.2,21100.0
123,2018-03-12 07:00:00,54.0,54.0,54.0,54.0,1000.0
ZZZZZZ,2019-09-16 07:00:00,27.2,27.2,25.1,25.3,30.0
123,2018-03-12 07:00:00,17.65,17.65,16.94,17.18,506930.0
ZZZZZZ,2018-04-13 07:00:00,13.63,14.1,13.63,13.79,300240.0
123,2018-05-17 07:00:00,13.0,13.08,12.92,13.0,50310.0
ZZZZZZ,2019-06-14 07:00:00,11.88,11.88,11.64,11.8,11500.0
ZZZZZZ,2025-07-18 07:00:00,14.69,14.69,14.69,14.69,300.0
ZZZZZZ,2017-09-28 07:00:00,4.61,4.61,4.61,4.61,430.0
123,2023-05-09 07:00:00,3.71,3.72,3.7,3.7,16600.0
123,2017-11-13 07:00:00,4.64,4.69,4.64,4.69,3002.0
ZZZZZZ,2021-12-02 07:00:00,7.9,7.9,7.83,7.83,500.0
ZZZZZZ,2016-08-17 07:00:00,10.81,10.98,10.81,10.94,133410.0
ZZZZZZ,2017-07-26 07:00:00,10.05,10.35,9.99,10.23,129240.0
ZZZZZZ,2021-09-15 07:00:00,11.8,12.21,11.55,11.85,865900.0
123,2018-12-21 07:00:00,1.98,2.02,1.96,2.01,78010.0
ZZZZZZ,2021-12-14 07:00:00,13.43,13.43,12.76,13.13,1319100.0
ZZZZZZ,2023-11-24 07:00:00,8.6,8.7,8.3,8.6,617753.0
ZZZZZZ,2025-11-05 07:00:00,3.57,3.63,3.56,3.57,17600.0
123,2019-08-28 07:00:00,10.58,10.62,10.5,10.62,273740.0
ZZZZZZ,2021-08-10 07:00:00,11.55,11.93,11.41,11.83,5501500.0
123,2018-08-29 07:00:00,13.7,14.0,13.7,14.0,510.0
123,2019-05-14 07:00:00,18.38,18.94,18.01,18.91,5940.0
123,2024-11-01 07:00:00,137.66,138.38,135.9,135.9,300700.0
ZZZZZZ,2026-02-26 07:00:00,15.9,16.0,15.7,15.8,40100.0
ZZZZZZ,2024-11-25 07:00:00,14.12,14.32,14.12,14.32,5500.0
ZZZZZZ,2017-07-26 07:00:00,12.17,12.17,12.06,12.06,7000.0
ZZZZZZ,2019-06-07 07:00:00,14.83,14.83,14.83,14.83,100.0
ZZZZZZ,2026-02-03 07:00:00,28.8,29.0,28.7,28.8,10400.0
123,2021-08-30 07:00:00,49.56,49.97,49.56,49.97,300.0
ZZZZZZ,2022-04-12 07:00:00,40.63,40.96,40.63,40.96,300.0
123,2018-08-07 07:00:00,13.74,13.74,13.25,13.72,520.0
123,2019-08-28 07:00:00,16.73,16.88,16.64,16.64,13640.0
ZZZZZZ,2020-07-17 07:00:00,12.21,12.28,12.08,12.28,3730.0
ZZZZZZ,2020-02-24 07:00:00,14.86,14.86,14.79,14.86,11600.0
ZZZZZZ,2022-01-11 07:00:00,25.19,25.19,24.96,24.96,211.0
ZZZZZZ,2023-12-27 07:00:00,24.25,24.25,24.25,24.25,100.0
ZZZZZZ,2025-10-03 07:00:00,25.58,25.58,22.28,22.28,3000.0
123,2015-10-21 07:00:00,5.16,5.24,5.13,5.2,89470.0
123,2016-01-08 07:00:00,5.6,5.85,5.6,5.74,147240.0
123,2022-09-13 07:00:00,8.32,8.36,8.25,8.25,36000.0
ZZZZZZ,2024-07-15 07:00:00,10.99,11.21,10.99,11.16,90500.0
ZZZZZZ,2024-11-25 07:00:00,11.29,11.29,11.25,11.29,40600.0
ZZZZZZ,2026-02-27 07:00:00,11.3,11.75,11.3,11.75,379500.0
ZZZZZZ,2024-02-01 07:00:00,9.0,9.1,8.6,9.0,10051.0
ZZZZZZ,2023-02-21 07:00:00,8.4,8.41,8.2,8.2,9411500.0
ZZZZZZ,2024-05-22 07:00:00,15.0,15.0,14.05,14.2,36523100.0
123,2017-09-27 07:00:00,4.87,4.87,4.87,4.87,2400.0
ZZZZZZ,2016-12-27 07:00:00,5.91,5.91,5.91,5.91,5030.0
123,2017-12-29 07:00:00,6.25,6.25,5.92,6.22,16300.0
ZZZZZZ,2023-05-17 07:00:00,9.43,9.43,8.31,9.34,2100.0
ZZZZZZ,2019-04-10 07:00:00,3.53,3.53,3.53,3.53,10000.0
ZZZZZZ,2023-04-13 07:00:00,6.47,6.47,6.47,6.47,1000.0
ZZZZZZ,2021-04-15 07:00:00,7.42,7.51,7.09,7.34,66304.0
ZZZZZZ,2021-07-02 07:00:00,8.27,8.35,8.02,8.27,328327.0
ZZZZZZ,2025-03-18 07:00:00,7.2,7.2,7.0,7.1,75100.0
ZZZZZZ,2023-02-21 07:00:00,25.8,25.8,25.4,25.4,1011.0
ZZZZZZ,2025-04-09 07:00:00,24.61,24.61,24.61,24.61,14.0
123,2024-10-10 07:00:00,9.92,9.92,9.85,9.85,209400.0
ZZZZZZ,2025-12-04 07:00:00,7.71,7.78,7.7,7.78,10700.0
ZZZZZZ,2021-06-18 07:00:00,19.14,19.42,19.03,19.14,956700.0
ZZZZZZ,2022-01-11 07:00:00,33.89,33.89,32.63,33.47,740300.0
123,2023-01-27 07:00:00,22.02,22.02,21.52,21.58,896400.0
ZZZZZZ,2023-04-26 07:00:00,20.43,21.04,20.3,21.04,1595600.0
ZZZZZZ,2020-08-14 07:00:00,18.91,18.91,18.91,18.91,2900.0
ZZZZZZ,2023-04-26 07:00:00,12.8,13.2,12.8,13.2,3800.0
ZZZZZZ,2025-01-10 07:00:00,9.3,9.3,9.3,9.3,101.0
ZZZZZZ,2019-06-17 07:00:00,5.27,5.27,5.27,5.27,400.0
ZZZZZZ,2026-02-11 07:00:00,1.1,1.2,1.0,1.1,170800.0
123,2018-08-29 07:00:00,2.51,2.51,2.47,2.47,3190.0
ZZZZZZ,2018-09-07 07:00:00,2.51,2.51,2.43,2.46,60900.0
123,2017-06-02 07:00:00,4.92,4.92,4.83,4.83,7000.0
123,2020-07-06 07:00:00,7.7,7.8,7.5,7.5,7200.0
ZZZZZZ,2025-03-04 07:00:00,8.6,8.6,8.6,8.6,100.0
ZZZZZZ,2024-05-10 07:00:00,21.5,21.6,18.8,21.3,293434.0
123,2018-03-12 07:00:00,19.84,20.89,19.84,20.89,27900.0
123,2019-02-26 07:00:00,28.15,28.15,27.42,27.42,60.0
123,2020-05-06 07:00:00,41.2,41.2,40.23,40.23,440.0
ZZZZZZ,2023-05-24 07:00:00,15.66,15.66,15.66,15.66,2000.0
ZZZZZZ,2022-11-08 07:00:00,12.51,12.51,12.51,12.51,100.0
ZZZZZZ,2021-12-14 07:00:00,10.64,10.64,10.49,10.49,300.0
ZZZZZZ,2025-04-16 07:00:00,14.87,14.87,14.23,14.5,8000.0
123,2016-08-24 07:00:00,15.37,15.37,15.05,15.11,32620.0
123,2018-12-14 07:00:00,11.55,11.59,11.24,11.24,292190.0
ZZZZZZ,2024-11-15 07:00:00,11.69,11.98,11.49,11.78,532200.0
ZZZZZZ,2025-09-10 07:00:00,17.3,18.3,17.25,18.3,2522200.0
123,2021-09-01 07:00:00,6.61,6.78,6.61,6.77,12400.0
ZZZZZZ,2022-07-11 07:00:00,6.75,6.86,6.75,6.86,4200.0
123,2019-02-27 07:00:00,5.59,5.63,5.57,5.59,1099950.0
123,2023-10-26 07:00:00,9.73,9.73,9.27,9.27,4991000.0
123,2025-02-28 07:00:00,7.78,8.1,7.78,8.01,1909100.0
ZZZZZZ,2025-02-24 07:00:00,14.5,14.5,14.5,14.5,100.0
ZZZZZZ,2020-07-02 07:00:00,5.33,5.38,4.92,5.28,225650.0
123,2020-11-11 07:00:00,6.45,6.55,6.4,6.47,496020.0
123,2020-12-02 07:00:00,7.31,7.31,7.18,7.23,1164710.0
ZZZZZZ,2023-11-01 07:00:00,8.08,8.4,7.87,8.4,1177000.0
ZZZZZZ,2024-04-22 07:00:00,10.84,10.84,10.6,10.6,1276300.0
ZZZZZZ,2023-05-18 07:00:00,3.6,3.89,3.6,3.79,133300.0
ZZZZZZ,2026-03-20 07:00:00,5.5,5.5,5.2,5.2,1200.0
ZZZZZZ,2022-11-08 07:00:00,20.45,20.86,20.45,20.45,3000.0
ZZZZZZ,2025-07-17 07:00:00,51.9,51.9,51.6,51.8,189900.0
ZZZZZZ,2018-04-13 07:00:00,5.28,5.3,5.15,5.15,8400.0
123,2020-03-31 07:00:00,4.8,4.8,4.52,4.71,12300.0
ZZZZZZ,2022-08-03 07:00:00,9.36,9.52,9.36,9.44,89200.0
123,2018-09-21 07:00:00,3.11,3.11,2.96,2.96,323260.0
123,2016-04-27 07:00:00,18.36,18.5,18.23,18.43,592560.0
ZZZZZZ,2018-11-27 07:00:00,20.4,20.4,20.16,20.16,47310.0
ZZZZZZ,2019-04-02 07:00:00,2.91,2.91,2.77,2.77,213400.0
ZZZZZZ,2019-05-16 07:00:00,3.45,3.45,3.17,3.18,184180.0
ZZZZZZ,2022-08-25 07:00:00,4.72,4.77,4.7,4.72,93500.0
123,2020-06-09 07:00:00,2.2,2.2,1.9,2.2,429374.0
ZZZZZZ,2017-08-14 07:00:00,4.59,4.59,4.59,4.59,100.0
ZZZZZZ,2018-03-05 07:00:00,4.13,4.56,4.13,4.56,800.0
123,2020-05-11 07:00:00,40.23,41.29,40.23,40.99,45223.0
ZZZZZZ,2020-08-14 07:00:00,6.78,6.78,6.78,6.78,82.0
ZZZZZZ,2024-12-23 07:00:00,21.01,21.39,21.01,21.27,42100.0
123,2016-08-24 07:00:00,5.42,5.45,5.36,5.45,6200.0
123,2024-01-19 07:00:00,5.1,5.2,5.1,5.1,1700.0
123,2018-04-03 07:00:00,10.03,10.08,9.99,10.03,11000.0
ZZZZZZ,2021-10-12 07:00:00,37.83,38.06,37.61,37.61,11800.0
ZZZZZZ,2022-07-11 07:00:00,59.1,59.1,58.6,58.6,1200.0
123,2019-10-17 07:00:00,13.55,13.55,13.3,13.4,75880.0
123,2023-05-29 07:00:00,3.4,3.7,3.4,3.6,1864900.0
123,2021-09-24 07:00:00,2.6,2.6,2.6,2.6,27700.0
123,2017-03-27 07:00:00,4.16,4.25,4.16,4.21,81200.0
123,2018-09-21 07:00:00,5.96,6.05,5.92,6.03,8952940.0
123,2019-10-17 07:00:00,6.78,6.78,6.72,6.75,5315090.0
123,2019-12-10 07:00:00,6.23,6.24,6.14,6.14,4244930.0
ZZZZZZ,2020-05-20 07:00:00,5.02,5.06,4.99,5.03,4064620.0
123,2024-07-16 07:00:00,15.05,15.61,15.02,15.35,24769400.0
ZZZZZZ,2024-08-28 07:00:00,15.93,16.1,15.87,16.06,12094000.0
ZZZZZZ,2025-11-26 07:00:00,12.5,12.5,10.0,10.1,12900.0
123,2026-02-04 07:00:00,11.0,11.5,11.0,11.5,900.0
123,2017-09-12 07:00:00,10.57,10.57,10.57,10.57,205.0
ZZZZZZ,2025-11-05 07:00:00,7.4,7.5,7.4,7.4,3100.0
ZZZZZZ,2020-02-24 07:00:00,2.0,2.08,1.83,1.83,6790.0
123,2025-10-06 07:00:00,2.7,2.8,2.7,2.8,40900.0
ZZZZZZ,2026-02-11 07:00:00,2.5,2.5,2.3,2.5,21000.0
123,2021-07-07 07:00:00,37.68,37.68,36.67,36.91,63110.0
ZZZZZZ,2019-09-20 07:00:00,2.0,2.0,2.0,2.0,1800.0
123,2021-06-07 07:00:00,3.8,3.9,3.6,3.8,20900.0
123,2019-06-05 07:00:00,20.2,20.2,19.23,19.81,2500.0
ZZZZZZ,2015-10-29 07:00:00,5.93,5.93,5.93,5.93,100.0
ZZZZZZ,2021-05-07 07:00:00,4.97,4.97,4.97,4.97,100.0
123,2025-08-04 07:00:00,19.5,20.7,19.0,20.7,61900.0
123,2019-06-21 07:00:00,6.9,6.95,6.85,6.85,14000.0
MIG,2021-09-28 07:00:00,15.44,16.8,11.2403785488959,12.519259375920758,56905200.0
ZZZZZZ,2023-08-04 07:00:00,15.29,15.41,15.14,15.22,160100.0
ZZZZZZ,2021-01-27 07:00:00,48.2,48.2,47.26,47.26,69470.0
ZZZZZZ,2021-05-13 07:00:00,54.25,58.6,53.21,57.65,145010.0
123,2022-01-11 07:00:00,72.0,72.0,70.0,70.0,17700.0
123,2019-06-21 07:00:00,11.81,12.1,11.81,11.92,151002.0
ZZZZZZ,2019-09-20 07:00:00,9.79,9.83,9.57,9.61,43310.0
ZZZZZZ,2019-11-28 07:00:00,6.79,7.59,6.79,7.04,170980.0
123,2023-07-14 07:00:00,0.8,0.8,0.6,0.8,534112.0
ZZZZZZ,2025-11-26 07:00:00,12.1,12.2,12.05,12.2,2634700.0
123,2018-01-04 07:00:00,66.35,67.57,66.03,66.84,749910.0
ZZZZZZ,2023-08-03 07:00:00,85.5,86.6,85.2,86.1,1880500.0
ZZZZZZ,2024-11-15 07:00:00,71.1,71.7,70.6,70.6,5685500.0
123,2024-12-31 07:00:00,70.2,70.8,70.0,70.0,2800400.0
123,2021-09-24 07:00:00,7.37,7.62,7.37,7.48,432895.0
123,2020-09-03 07:00:00,18.66,18.66,18.0,18.41,67460.0
123,2020-10-21 07:00:00,2.63,2.69,2.51,2.69,36950.0
123,2017-12-29 07:00:00,25.1,25.1,25.1,25.1,5100.0
ZZZZZZ,2025-09-17 07:00:00,35.5,35.8,35.1,35.1,800.0
ZZZZZZ,2024-01-30 07:00:00,28.23,28.32,27.88,27.88,23400.0
123,2023-01-06 07:00:00,122.36,122.36,122.36,122.36,100.0
ZZZZZZ,2024-12-31 07:00:00,22.92,22.92,22.92,22.92,2000.0
ZZZZZZ,2019-10-18 07:00:00,6.97,6.97,6.97,6.97,100.0
ZZZZZZ,2023-05-18 07:00:00,7.2,7.2,7.2,7.2,100.0
ZZZZZZ,2025-04-02 07:00:00,5.0,5.0,4.9,4.9,1300.0
ZZZZZZ,2020-11-24 07:00:00,6.35,6.35,6.35,6.35,300.0
123,2025-06-16 07:00:00,5.2,5.2,5.2,5.2,1000.0
ZZZZZZ,2018-07-13 07:00:00,4.01,4.01,4.01,4.01,100.0
123,2019-02-26 07:00:00,2.33,2.33,2.33,2.33,1100.0
ZZZZZZ,2024-08-12 07:00:00,18.15,18.78,17.83,18.46,693300.0
ZZZZZZ,2018-09-07 07:00:00,11.54,11.54,11.06,11.54,500.0
123,2020-12-02 07:00:00,34.7,35.12,34.35,34.88,155400.0
123,2025-03-19 07:00:00,13.4,13.5,13.21,13.3,208700.0
ZZZZZZ,2025-04-09 07:00:00,9.69,10.08,9.69,9.69,562500.0
ZZZZZZ,2025-03-18 07:00:00,11.0,11.2,11.0,11.2,1300.0
ZZZZZZ,2021-08-10 07:00:00,34.68,34.68,34.29,34.53,2208400.0
123,2025-08-04 07:00:00,36.9,38.27,36.9,38.27,2265400.0
ZZZZZZ,2021-07-13 07:00:00,18.16,18.52,18.16,18.52,400.0
ZZZZZZ,2017-09-08 07:00:00,70.93,70.93,70.4,70.93,250.0
123,2024-08-23 07:00:00,74.86,74.86,74.86,74.86,800.0
123,2025-08-20 07:00:00,77.75,77.85,77.66,77.66,2200.0
ZZZZZZ,2016-11-30 07:00:00,11.09,11.09,11.09,11.09,100.0
ZZZZZZ,2022-07-21 07:00:00,74.4,74.7,73.4,74.2,1867700.0
123,2025-08-20 07:00:00,12.7,12.79,12.2,12.3,2606700.0
123,2024-06-05 07:00:00,24.0,24.0,24.0,24.0,300.0
ZZZZZZ,2022-01-20 07:00:00,19.89,19.89,19.37,19.66,743200.0
ZZZZZZ,2019-09-06 07:00:00,7.49,7.55,7.18,7.55,700.0
ZZZZZZ,2023-04-27 07:00:00,10.21,10.71,10.21,10.21,3200.0
ZZZZZZ,2024-08-12 07:00:00,19.17,19.17,19.17,19.17,19.0
ZZZZZZ,2023-04-27 07:00:00,10.0,10.0,10.0,10.0,100.0
123,2021-11-05 07:00:00,7.31,7.73,7.31,7.73,10410.0
ZZZZZZ,2023-04-24 07:00:00,6.8,6.9,6.6,6.9,2300.0
ZZZZZZ,2026-03-24 07:00:00,4.1,4.1,4.1,4.1,100.0
ZZZZZZ,2022-06-24 07:00:00,10.29,10.29,9.31,9.72,4800.0
123,2018-02-01 07:00:00,21.38,21.38,20.86,20.86,680.0
123,2021-11-05 07:00:00,25.65,25.79,24.77,25.72,28800.0
123,2022-07-13 07:00:00,5.3,5.6,5.3,5.4,7100.0
123,2021-05-06 07:00:00,13.87,13.87,13.25,13.56,13900.0
ZZZZZZ,2024-04-22 07:00:00,20.25,20.4,19.8,19.8,14600.0
123,2018-06-27 07:00:00,7.73,7.82,7.59,7.78,176900.0
123,2021-07-07 07:00:00,8.13,8.13,8.13,8.13,100.0
ZZZZZZ,2022-04-13 07:00:00,10.03,10.03,10.03,10.03,3900.0
123,2021-06-07 07:00:00,9.65,9.65,8.51,9.65,1900.0
123,2018-12-14 07:00:00,7.02,7.02,6.87,7.02,6620.0
123,2019-05-14 07:00:00,6.18,6.4,6.18,6.4,30400.0
ZZZZZZ,2023-12-26 07:00:00,4.18,4.2,4.18,4.18,16000.0
