Top_K,Min_Volume,Min_Close,Min_Buy_Probability,Min_Buy_Sell_Margin,Transaction_Cost_Rate,Slippage_Rate,Round_Trip_Cost_Rate,Eligible_Rows,Eligible_Symbols,Backtest_Days,Trade_Days,Average_Daily_Return,Average_Daily_Return_Net,Cumulative_Return,Cumulative_Return_Net,Benchmark_Cumulative_Return,Hit_Rate,Sharpe_Ratio,Sharpe_Ratio_Net
20,50000,10.0,0.6,0.0,0.001,0.001,0.004,9068,164,389,13,0.001017836081823683,0.0008841599892786957,0.43332313925753607,0.3623347701268165,-0.7809691665221874,2.056555269922879,1.1554444075205261,1.0231689260713257
10,50000,10.0,0.6,0.0,0.001,0.001,0.004,9068,164,389,13,0.0009926702608902302,0.000858994168345243,0.4192650968805831,0.3489192184944263,-0.7809691665221874,2.056555269922879,1.1257458475858317,0.992497039314233
5,200000,5.0,0.55,0.0,0.001,0.001,0.004,3998,148,389,11,0.0009682154862399865,0.000855104946394228,0.4035130275003602,0.34461417637881064,-0.9627651325056273,2.056555269922879,1.0763386830579864,0.9676041812364371
10,200000,5.0,0.55,0.0,0.001,0.001,0.004,3998,148,389,11,0.000914205988713161,0.0008010954488674026,0.3743973898242383,0.3166097798946419,-0.9627651325056273,1.7994858611825193,1.016654691093562,0.9058500022057022
20,200000,5.0,0.55,0.0,0.001,0.001,0.004,3998,148,389,11,0.000914205988713161,0.0008010954488674026,0.3743973898242383,0.3166097798946419,-0.9627651325056273,1.7994858611825193,1.016654691093562,0.9058500022057022
5,200000,5.0,0.6,0.0,0.001,0.001,0.004,3998,148,389,8,0.0008070120338919294,0.0007247498230950141,0.32733667899328633,0.2867631252031213,-0.9627651325056273,1.5424164524421593,0.9911524067739987,0.9065944611003787
5,50000,5.0,0.65,0.0,0.001,0.001,0.004,14011,225,389,6,0.000718700790370474,0.0006570041322727875,0.2912027100615604,0.2617004180956046,-0.8176160724996954,1.0282776349614395,1.0007091144559337,0.9345390650676334
10,50000,5.0,0.65,0.0,0.001,0.001,0.004,14011,225,389,6,0.000718700790370474,0.0006570041322727875,0.2912027100615604,0.2617004180956046,-0.8176160724996954,1.0282776349614395,1.0007091144559337,0.9345390650676334
20,50000,5.0,0.65,0.0,0.001,0.001,0.004,14011,225,389,6,0.000718700790370474,0.0006570041322727875,0.2912027100615604,0.2617004180956046,-0.8176160724996954,1.0282776349614395,1.0007091144559337,0.9345390650676334
10,200000,5.0,0.6,0.0,0.001,0.001,0.004,3998,148,389,8,0.0007512176953993157,0.0006689554846024004,0.29889135074281414,0.2590779590163159,-0.9627651325056273,1.2853470437017995,0.9229785164603722,0.835993781671661
20,200000,5.0,0.6,0.0,0.001,0.001,0.004,3998,148,389,8,0.0007512176953993157,0.0006689554846024004,0.29889135074281414,0.2590779590163159,-0.9627651325056273,1.2853470437017995,0.9229785164603722,0.835993781671661
5,100000,10.0,0.6,0.0,0.001,0.001,0.004,5519,141,389,8,0.0007500584576462629,0.0006677962468493476,0.2974898613149508,0.25771202055187725,-0.8326823497864856,1.5424164524421593,0.9087184901619323,0.8225054901900153
5,50000,10.0,0.55,0.0,0.001,0.001,0.004,9068,164,389,27,0.001011713438179556,0.000734078476739967,0.39301589862667763,0.25149507368339985,-0.7809691665221874,4.370179948586118,0.8903029440314006,0.6525509610626804
10,100000,10.0,0.6,0.0,0.001,0.001,0.004,5519,141,389,8,0.000727534047065313,0.0006452718362683976,0.2861788762912034,0.2467039934913522,-0.8326823497864856,1.2853470437017995,0.8814264690926864,0.7943370649275587
20,100000,10.0,0.6,0.0,0.001,0.001,0.004,5519,141,389,8,0.000727534047065313,0.0006452718362683976,0.2861788762912034,0.2467039934913522,-0.8326823497864856,1.2853470437017995,0.8814264690926864,0.7943370649275587
10,50000,10.0,0.55,0.0,0.001,0.001,0.004,9068,164,389,27,0.000996563215688313,0.000718928254248724,0.3858551887179553,0.24503959300266542,-0.7809691665221874,4.370179948586118,0.8824024795011208,0.6430078004438563
20,50000,10.0,0.55,0.0,0.001,0.001,0.004,9068,164,389,27,0.0009861339821824323,0.0007084990207428434,0.3794020109041676,0.23921594060478157,-0.7809691665221874,4.370179948586118,0.8687474107552895,0.6303300480158759
5,100000,5.0,0.65,0.0,0.001,0.001,0.004,8514,191,389,5,0.0006322564685541795,0.0005808425868061074,0.2512941930468928,0.227469760940878,-0.8746277253970194,1.0282776349614395,0.9248145440791066,0.8674795304597005
10,100000,5.0,0.65,0.0,0.001,0.001,0.004,8514,191,389,5,0.0006322564685541795,0.0005808425868061074,0.2512941930468928,0.227469760940878,-0.8746277253970194,1.0282776349614395,0.9248145440791066,0.8674795304597005
20,100000,5.0,0.65,0.0,0.001,0.001,0.004,8514,191,389,5,0.0006322564685541795,0.0005808425868061074,0.2512941930468928,0.227469760940878,-0.8746277253970194,1.0282776349614395,0.9248145440791066,0.8674795304597005
