trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-02-27,"EVG,SAM,NVL,ANV,CTI,FCN,IDI,LBM,CLX",9,-0.023122788022536003,-0.007595693241940684,0.47078683972358704,0.004,-0.027122788022536003,0.338119341712815,-0.03189157418794775,0.19563335677169325
2025-02-28,"DRI,LBM,VPG,TDC,APG,CTP,NVL,HBS",8,-0.020777793775956815,-0.007973340570319568,0.4633277654647827,0.004,-0.024777793775956816,0.3103161739830871,-0.05587916511548496,0.18610016482091818
2025-03-03,"DRI,APG,CLX,EVG,NVL,TNT",6,0.0015598655678156954,-0.005160076656897445,0.462484210729599,0.004,-0.002440134432184305,0.3123600910658353,-0.05818294687282921,0.17997979704768352
2025-03-04,"TT6,NVL,EVG,DRI",4,-0.00801069982903893,0.004228298236580158,0.4659360945224762,0.004,-0.012010699829038931,0.30184716830869673,-0.06949482879180968,0.18496910354274054
2025-03-05,"PSB,NVL,EVS,EVG,DRI,TVN,APG,VIG",8,0.032875032081353714,0.014434719508299198,0.47258323431015015,0.004,0.028875032081353714,0.3446454357318647,-0.04262646212130761,0.20207380017838084
2025-03-06,"GEE,JVC,DRI,NVL,EVG,SAM",6,0.01221894562294562,-0.006222250395064456,0.4923612177371979,0.004,0.00821894562294562,0.36107558519321437,-0.034757861072635676,0.19459419600032435
2025-03-07,"EVG,NVL,DRI,SAM,NHA",5,-0.0028888583813340583,-0.013907596108675566,0.4729800224304199,0.004,-0.006888858381334058,0.35714363058129983,-0.04140727747140227,0.17798026240858378
2025-03-10,"TDC,APG,PSB,IJC,NVL,DRI,BCM",7,0.0034082397899031385,-0.007727397601241478,0.4665508568286896,0.004,-0.0005917602100968616,0.3617691015036606,-0.04197453450228317,0.16887754055453774
2025-03-11,"NVL,CTI",2,-0.015674688660470726,-0.012728381991464591,0.46977704763412476,0.004,-0.019674688660470726,0.34042379481014184,-0.06082338726475334,0.15399962071711593
2025-03-12,"JVC,NVL",2,0.0013467124372854578,-0.014606306513788402,0.47043415904045105,0.004,-0.0026532875627145423,0.3422289602058459,-0.06331529289051618,0.13714394854012624
