model_name,trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return,created_at
model3,2025-02-03,TTN,1,-0.03133769878391013,0.014564575010374465,0.4343999922275543,0.004,-0.03533769878391013,0.8241770037424816,0.4962933923026669,0.1726555322107992,2026-06-08 20:08:44
model3,2025-02-04,"GEE,VPG",2,0.05936875514282347,-0.0013258414409511093,0.4065546691417694,0.004,0.05536875514282347,0.9324761216148383,0.579141294762898,0.1711007769102335,2026-06-08 20:08:44
model3,2025-02-05,"CTI,NHA",2,-0.004529445589151304,-0.0015283104485412705,0.36656758189201355,0.004,-0.008529445589151304,0.9237230761696495,0.5656720950116361,0.1693109713565868,2026-06-08 20:08:44
model3,2025-02-06,CSM,1,-0.011912225705329127,0.00463767761132444,0.44332653284072876,0.004,-0.015912225705329127,0.9008072526917665,0.5407587672552754,0.17473385866912317,2026-06-08 20:08:44
model3,2025-02-07,"SHS,CTI",2,0.02441119951380899,0.012706951931991664,0.36235204339027405,0.004,0.02041119951380899,0.9472082377745203,0.5722075018563733,0.1896611453441146,2026-06-08 20:08:44
model3,2025-02-10,"AVG,SHS,TDC,CSM",4,-0.0015945769789717512,0.018016935466718856,0.37603750824928284,0.004,-0.005594576978971751,0.9441032643453009,0.563411665960321,0.2110951934270422,2026-06-08 20:08:44
model3,2025-02-11,"CSM,VPG,SHS,CTI",4,0.030638297837336126,0.011504534310855543,0.3633121848106384,0.004,0.026638297837336126,1.0036672791848495,0.6050582915605378,0.2250282796335359,2026-06-08 20:08:44
model3,2025-02-12,"GEE,CTI,TDC",3,0.07329926333541281,0.025020354047186843,0.38854512572288513,0.004,0.06929926333541281,1.15053461471837,0.7162876487760792,0.2556789209077832,2026-06-08 20:08:44
model3,2025-02-13,"TRC,GEE,CTI,CSM",4,0.03953997812744742,0.021425332318758455,0.38466763496398926,0.004,0.035539978127447414,1.235566706346653,0.7772844742739893,0.28258225907389267,2026-06-08 20:08:44
model3,2025-02-14,"SHS,CTI,VPG",3,0.01402213362266976,0.017274693733152144,0.37143754959106445,0.004,0.01002213362266976,1.2669141214254376,0.7950966567606597,0.30473847478696836,2026-06-08 20:08:44
model3,2025-02-17,"GEE,CTI,VPG,CSM",4,0.020879337104040885,0.019187329295589944,0.38284409046173096,0.004,0.016879337104040885,1.3142457855525902,0.8253966983644598,0.32977292154733173,2026-06-08 20:08:44
model3,2025-02-18,"TDC,VPG",2,-0.03592350975655617,0.015332963922516379,0.39555537700653076,0.004,-0.039923509756556175,1.2311099544962225,0.7525204554677207,0.35016228177855613,2026-06-08 20:08:44
model3,2025-02-19,"MCO,VPG,CTI",3,-0.024291378188058488,0.008804060387099574,0.387236624956131,0.004,-0.028291378188058488,1.176913218812413,0.7029392364797749,0.36204919203971864,2026-06-08 20:08:44
model3,2025-02-20,"NVL,VPG,CSM",3,-0.006282908875993994,0.012410466486585624,0.3843219578266144,0.004,-0.010282908875993993,1.1632358714276676,0.6854280674896984,0.3789528578906085,2026-06-08 20:08:44
model3,2025-02-21,"GEE,CLX,CTI,NVL",4,0.030080582695958313,0.009068588536395476,0.3568563461303711,0.004,0.026080582695958313,1.228307266949011,0.7293850135819526,0.3914580139699051,2026-06-08 20:08:44
model3,2025-02-24,"GEE,DRI,VPG,NVL",4,0.02379101614881382,0.0005605850833507864,0.3854585587978363,0.004,0.01979101614881382,1.281320961121514,0.7636113003132694,0.3922380445766456,2026-06-08 20:08:44
model3,2025-02-25,"DRI,TDC",2,-0.06878821567537524,-0.0019744522335899467,0.3825167715549469,0.004,-0.07278821567537525,1.124392962823133,0.6352411806185383,0.38948913705984234,2026-06-08 20:08:44
model3,2025-02-26,DRI,1,-0.03605313092979123,-0.011786390781520962,0.37489059567451477,0.004,-0.040053130929791236,1.0478019451881435,0.5697446515094375,0.37311207510377664,2026-06-08 20:08:44
model3,2025-02-27,,0,0.0,0.0006412928840257602,0.0,0.0,0.0,1.0478019451881435,0.5697446515094375,0.3739926421065105,2026-06-08 20:08:44
