model_name,trading_date,symbol,predicted_signal,adjusted_signal,sell_probability,hold_probability,buy_probability,encode_sector,sector,close,volume,target_signal,target_return,predicted_signal_score,signal_confidence,buy_sell_margin,created_at
model3,2025-06-18,RYG,HOLD,HOLD,0.20678583,0.5438281,0.24938603,3,3,12.95,2000.0,SELL,-0.07335907335907332,0.0426002,0.5438281,0.0426002,2026-06-08 20:08:43
model3,2025-06-20,RYG,HOLD,HOLD,0.26812395,0.5501937,0.18168235,3,3,12.9,1400.0,HOLD,-0.023255813953488413,-0.08644161,0.5501937,-0.08644161,2026-06-08 20:08:43
model3,2025-06-23,RYG,HOLD,HOLD,0.22260906,0.5821972,0.19519375,3,3,13.1,700.0,SELL,-0.03816793893129766,-0.027415305,0.5821972,-0.027415305,2026-06-08 20:08:43
model3,2025-06-24,RYG,HOLD,HOLD,0.36003888,0.46188793,0.17807318,3,3,13.3,100.0,SELL,-0.06390977443609036,-0.1819657,0.46188793,-0.1819657,2026-06-08 20:08:43
model3,2025-06-25,RYG,HOLD,HOLD,0.20025273,0.4300341,0.36971313,3,3,12.5,2200.0,HOLD,-0.02400000000000002,0.1694604,0.4300341,0.1694604,2026-06-08 20:08:43
model3,2025-06-26,RYG,SELL,HOLD,0.39270782,0.31968895,0.28760326,3,3,12.0,2219400.0,HOLD,0.016666666666666607,-0.105104566,0.39270782,-0.105104566,2026-06-08 20:08:43
model3,2025-06-27,RYG,HOLD,HOLD,0.35623318,0.42098096,0.22278582,3,3,12.6,700.0,SELL,-0.031746031746031744,-0.13344736,0.42098096,-0.13344736,2026-06-08 20:08:43
model3,2025-06-30,RYG,HOLD,HOLD,0.2722975,0.4513628,0.27633977,3,3,12.6,500.0,SELL,-0.04761904761904756,0.004042268,0.4513628,0.004042268,2026-06-08 20:08:43
model3,2025-07-02,RYG,SELL,HOLD,0.40333065,0.4006554,0.196014,3,3,12.45,3200.0,SELL,-0.04819277108433728,-0.20731665,0.40333065,-0.20731665,2026-06-08 20:08:43
model3,2025-07-03,RYG,HOLD,HOLD,0.34898227,0.40002266,0.25099507,3,3,12.2,10100.0,SELL,-0.02868852459016391,-0.097987205,0.40002266,-0.097987205,2026-06-08 20:08:43
